,Cerebral_WM_Left,Cerebral_WM_Right,Thalamus_Left,Thalamus_Right,Caudate_Left,Caudate_Right,Putamen_Left,Putamen_Right,Pallidum_Left,Pallidum_Right,Lateral_Ventricle_Left,Lateral_Ventricle_Right,Third_Ventricle,Fourth_Ventricle,CSF,Hippocampus_Left,Hippocampus_Right,Amygdala_Left,Amygdala_Right,Frontal_Left,Frontal_Right,Parietal_Left,Parietal_Right,Temporal_Left,Temporal_Right,Occipital_Left,Occipital_Right,Brainstem,Cerebellum_WM_Left,Cerebellum_WM_Right,Cerebellum_Cortex_Left,Cerebellum_Cortex_Right
Lateral_Ventricle_Left,-0.4604827212124487,-0.2464682047829627,-0.6495926744830351,-0.369976257462742,0.03591331308001563,-0.3579445294896806,0.0028222008390286603,-0.13141148540548866,-0.04952694689269273,-0.4505847185579844,1.0,0.6485299795934577,0.6151878484518399,-0.013706103277906511,0.2411465252781654,-0.32650155479826654,-0.5183016669667544,-0.27823789256062703,-0.16531335721870044,-0.5960233020191911,-0.5903003688293268,-0.17494649949453964,-0.07151026849138985,0.19820487051191324,-0.603355156529815,0.35271550957070147,-0.2713436781918213,0.12703107019943835,-0.12853148568403536,0.40026595538210075,0.14033498610954517,-0.24233268568400532
Lateral_Ventricle_Right,0.16374602346406059,-0.8782990514275713,-0.804798696618457,-0.8792182856008889,0.0322957615212498,-0.9202185286415022,-0.2799285511125813,-0.6898387617089965,-0.39314391971833434,-0.5523397580941046,0.6485299795934577,1.0,0.9765704532862253,-0.48372324095827074,0.7426803893690099,-0.42842199944561293,-0.8212317750377516,-0.06792688467773977,-0.6831765539999787,-0.935348322102112,-0.9407568168087397,-0.6833923012635704,-0.41854755759204,-0.15801298058566965,-0.9164378539403166,0.046584975810372374,-0.7578878798418305,-0.6631164438657716,-0.3524610606557859,-0.028610618649673784,-0.3252241915779799,-0.5003183688408351
Third_Ventricle,0.1296729807262136,-0.8302121970241867,-0.7585367408302897,-0.9070323622101428,0.13831952638028408,-0.9147839497637325,-0.19559759882050076,-0.6210305716887928,-0.29537332186878046,-0.4294224239357109,0.6151878484518399,0.9765704532862253,1.0,-0.4622247521900615,0.7179570403524962,-0.4871190283807432,-0.7631095391773771,-0.20633107498550765,-0.708778642426235,-0.9575199027553887,-0.8603938575174577,-0.8041205575768599,-0.6004693190635513,-0.30712850128875857,-0.9766713654411431,0.0470347114087671,-0.8217360928196018,-0.6956703543747181,-0.5147066965404631,0.07632356297229227,-0.3244857344629706,-0.5426045068892404
Fourth_Ventricle,-0.21734500519073005,0.5068536656281211,0.7635543854813196,0.7716880163875829,0.6878742452051808,0.742007147237129,0.9207022019121982,0.9162317107950042,0.9254990784152296,0.7184556018280618,-0.013706103277906511,-0.48372324095827074,-0.4622247521900615,1.0,-0.0769438239002719,0.8033766901139269,0.8377561612887148,0.3084352616738447,0.9222208008165996,0.37220506455902475,0.35421006797056365,0.3147912594207426,0.18478236350323415,0.46492097218810896,0.38293259505255167,0.8447641171021787,0.8048929654223946,0.5916228395494847,0.23020203815646184,0.6085166415442167,0.9781332199638987,0.901412342102067
CSF,0.6313632564580072,-0.8636036186721472,-0.2739872662124529,-0.5626886729921867,0.37614092820463985,-0.6500819067853937,0.13838557175748678,-0.3690765255827455,0.0017216045848112947,-0.02267307839492699,0.2411465252781654,0.7426803893690099,0.7179570403524962,-0.0769438239002719,1.0,0.17085454155871552,-0.35796896998678956,0.34273559470594445,-0.2585654534232675,-0.7983553428681842,-0.7982964333517022,-0.6016184853383622,-0.35488637711688564,0.1228929186076415,-0.6371258942502492,0.346345302063092,-0.3620228041681385,-0.7011142028179346,-0.3136304575879011,-0.12288092033723999,0.06875690490896391,0.03685328637563069
Hippocampus_Left,0.2393604129316504,0.18162178873133428,0.7851890928302857,0.706837133884921,0.5237156855483441,0.5786654921685386,0.683493282240845,0.5967357039426833,0.6414430088006311,0.5691543215963787,-0.32650155479826654,-0.42842199944561293,-0.4871190283807432,0.8033766901139269,0.17085454155871552,1.0,0.7406296634595243,0.7732839923514108,0.8190649938799304,0.3954985275886928,0.16312909606600656,0.35885299635648393,0.40200152329089184,0.5791950820515794,0.4966177732776827,0.687433638359639,0.8058921142131676,0.27931695976277193,0.48726528492761273,0.1526696720516664,0.7923189653055591,0.9775313003227636
Hippocampus_Right,-0.10244127862882832,0.6903875023824545,0.97951072626621,0.8756978029580179,0.5282450533573879,0.8743801555876574,0.7580501892779699,0.8927974048257983,0.8146891816831318,0.8386351780625692,-0.5183016669667544,-0.8212317750377516,-0.7631095391773771,0.8377561612887148,-0.35796896998678956,0.7406296634595243,1.0,0.2578065608631003,0.8498993917918751,0.7011755396446938,0.7242681917576279,0.3776240144096647,0.15840153953525163,0.18829408803360387,0.6608774250462747,0.4671195832285904,0.8039723720401813,0.524978828588758,0.23244519914665038,0.3894986300713531,0.7146515895847101,0.8133080794232014
Amygdala_Left,0.35228294099021096,-0.27470026117292734,0.37825381885953374,0.3349768345395452,0.2011923570344447,0.1195878230303281,0.17341463595263526,-0.011521212163382649,0.07991400905702345,-0.005433107448754685,-0.27823789256062703,-0.06792688467773977,-0.20633107498550765,0.3084352616738447,0.34273559470594445,0.7732839923514108,0.2578065608631003,1.0,0.35216872724853576,0.2244064368596764,-0.26175422706755075,0.2260176142853417,0.5047065705301416,0.4453884104755802,0.28376731393737425,0.3906521913299484,0.44876636533617975,-0.10239387233796417,0.7163096017404672,-0.1675999554013643,0.3306314240152086,0.6680840545857161
Amygdala_Right,-0.13048922957508327,0.6528597433522576,0.791680499613888,0.9153852821414086,0.3746387841482173,0.8901153732388756,0.7219952275903788,0.8941120426402966,0.7537805120540424,0.6478809452885578,-0.16531335721870044,-0.6831765539999787,-0.708778642426235,0.9222208008165996,-0.2585654534232675,0.8190649938799304,0.8498993917918751,0.35216872724853576,1.0,0.5833206465607007,0.5180833999136247,0.637888339911555,0.4875923677028883,0.6514390064913844,0.681417523240077,0.6310737341752396,0.9645855725206892,0.7481885841979318,0.3980562446370797,0.31799417028826354,0.8886508291941067,0.9007164489244625
Frontal_Left,-0.29206729246985497,0.7975467981978326,0.6990679306091485,0.8587824876447938,-0.1459130519497738,0.8443555500704076,0.11113495131529857,0.5188047056402898,0.2081784613572695,0.28034670388786453,-0.5960233020191911,-0.935348322102112,-0.9575199027553887,0.37220506455902475,-0.7983553428681842,0.3954985275886928,0.7011755396446938,0.2244064368596764,0.5833206465607007,1.0,0.8152727871090768,0.7286538353763546,0.5688696251332899,0.1270620522586228,0.9072002364987745,-0.09527233311331904,0.71832501720188,0.6426159845630824,0.6162349388451408,0.013777047544162256,0.21302526460119917,0.46152676650501595
Frontal_Right,-0.22626747679033776,0.910374516109953,0.6795705599810495,0.7139065026235585,-0.05730485823669049,0.8256231136291633,0.22969510870522428,0.6606495060909985,0.3683254570560305,0.5775806458332347,-0.5903003688293268,-0.9407568168087397,-0.8603938575174577,0.35421006797056365,-0.7982964333517022,0.16312909606600656,0.7242681917576279,-0.26175422706755075,0.5180833999136247,0.8152727871090768,1.0,0.5248168550749167,0.17370346969704906,-0.051278001624757624,0.7704776508217243,-0.18490088383247513,0.5519377188846114,0.6099497308357124,0.05931904470168226,0.07800785835662574,0.1862278037025182,0.25823035874728273
Parietal_Left,-0.1677267831392634,0.6644128321775529,0.34158918727188875,0.7546010940237123,-0.4621492134033312,0.740472403544269,-0.06523008469028194,0.3960106613964482,0.004333506718367011,0.01245244144173569,-0.17494649949453964,-0.6833923012635704,-0.8041205575768599,0.3147912594207426,-0.6016184853383622,0.35885299635648393,0.3776240144096647,0.2260176142853417,0.637888339911555,0.7286538353763546,0.5248168550749167,1.0,0.9113374867443558,0.6860262663893248,0.8754869276978936,-0.050552105809422966,0.7876867465770636,0.8092862859348645,0.6565595575009247,-0.2537113811728127,0.2825887173904555,0.40932170378355404
Parietal_Right,-0.06465303073079741,0.3341566745614745,0.16587886901688675,0.5874601954239386,-0.49489706947380396,0.49134894697875275,-0.20330564589113007,0.12007122859552875,-0.18986969745089674,-0.25738704673449486,-0.07151026849138985,-0.41854755759204,-0.6004693190635513,0.18478236350323415,-0.35488637711688564,0.40200152329089184,0.15840153953525163,0.5047065705301416,0.4875923677028883,0.5688696251332899,0.17370346969704906,0.9113374867443558,1.0,0.7452810739074492,0.7176949752493249,-0.007180475253939029,0.6742438343352962,0.5962689920027426,0.8404239571513101,-0.3563549211719158,0.1988204079519983,0.4003416587174701
Temporal_Left,0.18400912506820127,0.1478929354244564,0.16502782849016198,0.46521438757906247,-0.11801171167824319,0.39894484912202693,0.19977673672250548,0.3180958970557827,0.17028151588093804,0.06623306679275758,0.19820487051191324,-0.15801298058566965,-0.30712850128875857,0.46492097218810896,0.1228929186076415,0.5791950820515794,0.18829408803360387,0.4453884104755802,0.6514390064913844,0.1270620522586228,-0.051278001624757624,0.6860262663893248,0.7452810739074492,1.0,0.4398668431553146,0.4096433507922156,0.6878315277680611,0.5181804414741248,0.44048112192639394,-0.20750042677705346,0.5712291023507965,0.5708368392638535
Temporal_Right,0.0013147161576110838,0.7379870353071895,0.675198358047015,0.8605709562446585,-0.2681310579190266,0.8528031579840181,0.0820586762693219,0.5133487515628534,0.16948559114222894,0.33316889572062064,-0.603355156529815,-0.9164378539403166,-0.9766713654411431,0.38293259505255167,-0.6371258942502492,0.4966177732776827,0.6608774250462747,0.28376731393737425,0.681417523240077,0.9072002364987745,0.7704776508217243,0.8754869276978936,0.7176949752493249,0.4398668431553146,1.0,-0.10489079568724596,0.8235033855426377,0.661224934200563,0.5648053774150458,-0.25366643160961266,0.27255428564054485,0.5219076824804948
Occipital_Left,-0.18037298242670702,0.02935062869878491,0.4019412107478024,0.36953904439590873,0.8114643942216042,0.2882929355881978,0.8654107077425095,0.6006698443578997,0.7965557469180617,0.44002312583600733,0.35271550957070147,0.046584975810372374,0.0470347114087671,0.8447641171021787,0.346345302063092,0.687433638359639,0.4671195832285904,0.3906521913299484,0.6310737341752396,-0.09527233311331904,-0.18490088383247513,-0.050552105809422966,-0.007180475253939029,0.4096433507922156,-0.10489079568724596,1.0,0.46868429468244993,0.25901603269643947,0.14298222330103322,0.6922460759093073,0.907699072225101,0.7525455683314025
Occipital_Right,-0.10297555320693955,0.6688065214547917,0.7711300679447449,0.9579853415288262,0.16983340088686968,0.9101857932160254,0.5331038889788501,0.7827396913456174,0.5712754260284993,0.5052728774752134,-0.2713436781918213,-0.7578878798418305,-0.8217360928196018,0.8048929654223946,-0.3620228041681385,0.8058921142131676,0.8039723720401813,0.44876636533617975,0.9645855725206892,0.71832501720188,0.5519377188846114,0.7876867465770636,0.6742438343352962,0.6878315277680611,0.8235033855426377,0.46868429468244993,1.0,0.7678021535651846,0.5788902541956472,0.13813820241169986,0.7580355174271414,0.867394599958464
Brainstem,-0.5865140070192812,0.8698446660774344,0.38765468463712466,0.7968290861853474,-0.09742376884320036,0.8464982584732801,0.3023708552915766,0.7231168521647084,0.39183421924622736,0.2213748428334234,0.12703107019943835,-0.6631164438657716,-0.6956703543747181,0.5916228395494847,-0.7011142028179346,0.27931695976277193,0.524978828588758,-0.10239387233796417,0.7481885841979318,0.6426159845630824,0.6099497308357124,0.8092862859348645,0.5962689920027426,0.5181804414741248,0.661224934200563,0.25901603269643947,0.7678021535651846,1.0,0.4103653455999075,0.3107527300421143,0.5511778442269128,0.4372035006907509
Cerebellum_WM_Left,-0.23020960318164785,0.20519770899103718,0.2661149975283319,0.5709295525977341,-0.21147868930720295,0.404113663168808,-0.0913053274952587,0.06987658449700271,-0.10822019082272732,-0.2975364476308458,-0.12853148568403536,-0.3524610606557859,-0.5147066965404631,0.23020203815646184,-0.3136304575879011,0.48726528492761273,0.23244519914665038,0.7163096017404672,0.3980562446370797,0.6162349388451408,0.05931904470168226,0.6565595575009247,0.8404239571513101,0.44048112192639394,0.5648053774150458,0.14298222330103322,0.5788902541956472,0.4103653455999075,1.0,-0.07775211021663461,0.2041244066286088,0.48762164584731876
Cerebellum_WM_Right,-0.7042312620172051,0.29137835128284945,0.2569170637226182,0.23990139754574547,0.7384188150127058,0.25723249910267093,0.709145625980519,0.5732642155486599,0.7117207821486861,0.33194503672680575,0.40026595538210075,-0.028610618649673784,0.07632356297229227,0.6085166415442167,-0.12288092033723999,0.1526696720516664,0.3894986300713531,-0.1675999554013643,0.31799417028826354,0.013777047544162256,0.07800785835662574,-0.2537113811728127,-0.3563549211719158,-0.20750042677705346,-0.25366643160961266,0.6922460759093073,0.13813820241169986,0.3107527300421143,-0.07775211021663461,1.0,0.5818227500518551,0.3127984970202369
Cerebellum_Cortex_Left,-0.16852679826356193,0.3792035497771575,0.6360285551374882,0.6729107646581983,0.6780089704386332,0.6332435828298622,0.9027195337446948,0.8450836247988173,0.8854502189015789,0.6374287728260373,0.14033498610954517,-0.3252241915779799,-0.3244857344629706,0.9781332199638987,0.06875690490896391,0.7923189653055591,0.7146515895847101,0.3306314240152086,0.8886508291941067,0.21302526460119917,0.1862278037025182,0.2825887173904555,0.1988204079519983,0.5712291023507965,0.27255428564054485,0.907699072225101,0.7580355174271414,0.5511778442269128,0.2041244066286088,0.5818227500518551,1.0,0.8795361298485602
Cerebellum_Cortex_Right,0.049626476039086764,0.3344179747793917,0.8181753274343072,0.7961773068608886,0.5655356942558277,0.6899071038496605,0.7657909128275933,0.7303036141170766,0.7417510136678356,0.6086028101974713,-0.24233268568400532,-0.5003183688408351,-0.5426045068892404,0.901412342102067,0.03685328637563069,0.9775313003227636,0.8133080794232014,0.6680840545857161,0.9007164489244625,0.46152676650501595,0.25823035874728273,0.40932170378355404,0.4003416587174701,0.5708368392638535,0.5219076824804948,0.7525455683314025,0.867394599958464,0.4372035006907509,0.48762164584731876,0.3127984970202369,0.8795361298485602,1.0
